sku,date,demand_units
22197,2011-11-01,238
22197,2011-11-02,172
22197,2011-11-03,8
22197,2011-11-04,120
22197,2011-11-05,0
22197,2011-11-06,294
22197,2011-11-07,2012
22197,2011-11-08,148
22197,2011-11-09,1079
22197,2011-11-10,315
22197,2011-11-11,160
22197,2011-11-12,0
22197,2011-11-13,114
22197,2011-11-14,1767
22197,2011-11-15,224
22197,2011-11-16,352
22197,2011-11-17,123
22197,2011-11-18,449
22197,2011-11-19,0
22197,2011-11-20,206
22197,2011-11-21,349
22197,2011-11-22,1162
22197,2011-11-23,397
22197,2011-11-24,558
22197,2011-11-25,342
22197,2011-11-26,0
22197,2011-11-27,47
22197,2011-11-28,236
23084,2011-11-01,70
23084,2011-11-02,247
23084,2011-11-03,266
23084,2011-11-04,150
23084,2011-11-05,0
23084,2011-11-06,327
23084,2011-11-07,839
23084,2011-11-08,265
23084,2011-11-09,442
23084,2011-11-10,280
23084,2011-11-11,454
23084,2011-11-12,0
23084,2011-11-13,86
23084,2011-11-14,609
23084,2011-11-15,473
23084,2011-11-16,376
23084,2011-11-17,396
23084,2011-11-18,444
23084,2011-11-19,0
23084,2011-11-20,55
23084,2011-11-21,95
23084,2011-11-22,493
23084,2011-11-23,395
23084,2011-11-24,228
23084,2011-11-25,371
23084,2011-11-26,0
23084,2011-11-27,317
23084,2011-11-28,381
22086,2011-11-01,70
22086,2011-11-02,254
22086,2011-11-03,1073
22086,2011-11-04,140
22086,2011-11-05,0
22086,2011-11-06,93
22086,2011-11-07,539
22086,2011-11-08,140
22086,2011-11-09,241
22086,2011-11-10,125
22086,2011-11-11,195
22086,2011-11-12,0
22086,2011-11-13,33
22086,2011-11-14,914
22086,2011-11-15,166
22086,2011-11-16,257
22086,2011-11-17,280
22086,2011-11-18,279
22086,2011-11-19,0
22086,2011-11-20,253
22086,2011-11-21,272
22086,2011-11-22,450
22086,2011-11-23,448
22086,2011-11-24,94
22086,2011-11-25,296
22086,2011-11-26,0
22086,2011-11-27,100
22086,2011-11-28,328
85099B,2011-11-01,84
85099B,2011-11-02,24
85099B,2011-11-03,452
85099B,2011-11-04,58
85099B,2011-11-05,0
85099B,2011-11-06,110
85099B,2011-11-07,146
85099B,2011-11-08,149
85099B,2011-11-09,725
85099B,2011-11-10,1064
85099B,2011-11-11,28
85099B,2011-11-12,0
85099B,2011-11-13,48
85099B,2011-11-14,640
85099B,2011-11-15,380
85099B,2011-11-16,296
85099B,2011-11-17,97
85099B,2011-11-18,62
85099B,2011-11-19,0
85099B,2011-11-20,87
85099B,2011-11-21,147
85099B,2011-11-22,122
85099B,2011-11-23,146
85099B,2011-11-24,229
85099B,2011-11-25,55
85099B,2011-11-26,0
85099B,2011-11-27,28
85099B,2011-11-28,42
84879,2011-11-01,270
84879,2011-11-02,128
84879,2011-11-03,186
84879,2011-11-04,80
84879,2011-11-05,0
84879,2011-11-06,136
84879,2011-11-07,24
84879,2011-11-08,56
84879,2011-11-09,1312
84879,2011-11-10,200
84879,2011-11-11,100
84879,2011-11-12,0
84879,2011-11-13,48
84879,2011-11-14,303
84879,2011-11-15,107
84879,2011-11-16,137
84879,2011-11-17,78
84879,2011-11-18,368
84879,2011-11-19,0
84879,2011-11-20,109
84879,2011-11-21,190
84879,2011-11-22,132
84879,2011-11-23,80
84879,2011-11-24,275
84879,2011-11-25,272
84879,2011-11-26,0
84879,2011-11-27,8
84879,2011-11-28,56
22578,2011-11-01,114
22578,2011-11-02,150
22578,2011-11-03,175
22578,2011-11-04,193
22578,2011-11-05,0
22578,2011-11-06,95
22578,2011-11-07,102
22578,2011-11-08,237
22578,2011-11-09,241
22578,2011-11-10,242
22578,2011-11-11,174
22578,2011-11-12,0
22578,2011-11-13,203
22578,2011-11-14,291
22578,2011-11-15,26
22578,2011-11-16,238
22578,2011-11-17,223
22578,2011-11-18,111
22578,2011-11-19,0
22578,2011-11-20,161
22578,2011-11-21,183
22578,2011-11-22,185
22578,2011-11-23,713
22578,2011-11-24,176
22578,2011-11-25,63
22578,2011-11-26,0
22578,2011-11-27,13
22578,2011-11-28,271
22577,2011-11-01,133
22577,2011-11-02,130
22577,2011-11-03,111
22577,2011-11-04,260
22577,2011-11-05,0
22577,2011-11-06,72
22577,2011-11-07,24
22577,2011-11-08,189
22577,2011-11-09,279
22577,2011-11-10,269
22577,2011-11-11,170
22577,2011-11-12,0
22577,2011-11-13,177
22577,2011-11-14,267
22577,2011-11-15,124
22577,2011-11-16,149
22577,2011-11-17,231
22577,2011-11-18,84
22577,2011-11-19,0
22577,2011-11-20,155
22577,2011-11-21,331
22577,2011-11-22,219
22577,2011-11-23,406
22577,2011-11-24,111
22577,2011-11-25,54
22577,2011-11-26,0
22577,2011-11-27,18
22577,2011-11-28,430
85123A,2011-11-01,39
85123A,2011-11-02,80
85123A,2011-11-03,1265
85123A,2011-11-04,81
85123A,2011-11-05,0
85123A,2011-11-06,74
85123A,2011-11-07,31
85123A,2011-11-08,97
85123A,2011-11-09,113
85123A,2011-11-10,71
85123A,2011-11-11,128
85123A,2011-11-12,0
85123A,2011-11-13,65
85123A,2011-11-14,374
85123A,2011-11-15,349
85123A,2011-11-16,157
85123A,2011-11-17,90
85123A,2011-11-18,103
85123A,2011-11-19,0
85123A,2011-11-20,95
85123A,2011-11-21,36
85123A,2011-11-22,87
85123A,2011-11-23,88
85123A,2011-11-24,111
85123A,2011-11-25,222
85123A,2011-11-26,0
85123A,2011-11-27,8
85123A,2011-11-28,133
84077,2011-11-01,0
84077,2011-11-02,288
84077,2011-11-03,240
84077,2011-11-04,288
84077,2011-11-05,0
84077,2011-11-06,96
84077,2011-11-07,0
84077,2011-11-08,384
84077,2011-11-09,144
84077,2011-11-10,245
84077,2011-11-11,202
84077,2011-11-12,0
84077,2011-11-13,144
84077,2011-11-14,52
84077,2011-11-15,101
84077,2011-11-16,293
84077,2011-11-17,144
84077,2011-11-18,148
