sku,description,lead_time_days,safety_stock_units,order_pack_size,minimum_order_qty,high_priority_cover_days
22197,POPCORN HOLDER,4,544,6,6,6
23084,RABBIT NIGHT LIGHT,7,1008,12,12,11
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,10,629,24,48,14
85099B,JUMBO BAG RED RETROSPOT,5,699,10,10,7
84879,ASSORTED COLOUR BIRD ORNAMENT,8,532,8,8,12
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,6,589,15,15,10
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,9,424,20,40,11
85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,919,25,25,16
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,3,183,30,30,7
23203,JUMBO BAG VINTAGE DOILY ,11,941,5,5,13
21915,RED  HARMONICA IN BOX ,5,130,18,36,9
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,7,625,16,16,11
