job_id,operation_id,machine,start,end
J1,J1-O1,M2,0,1
J2,J2-O1,M1,0,8
J1,J1-O2,M0,1,4
J3,J3-O1,M2,1,6
J3,J3-O2,M3,6,10
J5,J5-O1,M2,6,15
J4,J4-O1,M1,8,13
J3,J3-O3,M5,10,18
J4,J4-O2,M0,13,18
J6,J6-O1,M1,13,16
J2,J2-O2,M2,15,20
J5,J5-O2,M1,16,19
J6,J6-O2,M3,16,19
J3,J3-O4,M0,18,27
J1,J1-O3,M1,19,25
J6,J6-O3,M5,19,28
J2,J2-O3,M4,20,30
J4,J4-O3,M2,20,25
J1,J1-O4,M3,25,32
J3,J3-O5,M1,27,28
J6,J6-O4,M0,28,38
J2,J2-O4,M5,30,40
J5,J5-O3,M4,30,35
J4,J4-O4,M3,32,35
J4,J4-O5,M4,35,43
J2,J2-O5,M0,40,50
J5,J5-O4,M5,40,44
J6,J6-O5,M4,43,47
J1,J1-O5,M5,44,47
J1,J1-O6,M4,47,53
J4,J4-O6,M5,47,56
J6,J6-O6,M2,47,48
J2,J2-O6,M3,50,54
J5,J5-O5,M0,50,53
J3,J3-O6,M4,53,60
J5,J5-O6,M3,54,55
