job_id,operation_id,operation_index,machine,processing_time
J1,J1-O1,1,M2,1
J1,J1-O2,2,M0,3
J1,J1-O3,3,M1,6
J1,J1-O4,4,M3,7
J1,J1-O5,5,M5,3
J1,J1-O6,6,M4,6
J2,J2-O1,1,M1,8
J2,J2-O2,2,M2,5
J2,J2-O3,3,M4,10
J2,J2-O4,4,M5,10
J2,J2-O5,5,M0,10
J2,J2-O6,6,M3,4
J3,J3-O1,1,M2,5
J3,J3-O2,2,M3,4
J3,J3-O3,3,M5,8
J3,J3-O4,4,M0,9
J3,J3-O5,5,M1,1
J3,J3-O6,6,M4,7
J4,J4-O1,1,M1,5
J4,J4-O2,2,M0,5
J4,J4-O3,3,M2,5
J4,J4-O4,4,M3,3
J4,J4-O5,5,M4,8
J4,J4-O6,6,M5,9
J5,J5-O1,1,M2,9
J5,J5-O2,2,M1,3
J5,J5-O3,3,M4,5
J5,J5-O4,4,M5,4
J5,J5-O5,5,M0,3
J5,J5-O6,6,M3,1
J6,J6-O1,1,M1,3
J6,J6-O2,2,M3,3
J6,J6-O3,3,M5,9
J6,J6-O4,4,M0,10
J6,J6-O5,5,M4,4
J6,J6-O6,6,M2,1
