award_id,category,supplier,bureau,contract_type,award_value
POR-31001677,Emergency & Safety,Rapid Response Bio Clean Inc.,Facility Services,competitive,4528000
POR-31002015,Emergency & Safety,Rapid Response Bio Clean Inc,CITYWIDE PROJECTS - OMF,renewal,4528000
POR-31002159,Emergency & Safety,Allied Universal Security Services,Facility Services,renewal,10000000
POR-31002383,Emergency & Safety,"Rockwest Training Company, Inc.",VARIOUS BUREAUS,limited,1100000
POR-31002505,Emergency & Safety,GardaWorld Security Services,Transportation,competitive,6306319
POR-31000991,Office & Facilities,Relay Resources,Facility Services,renewal,6769343
POR-31001107,Office & Facilities,Relay Resources,Facility Services,renewal,5699416
POR-31001574,Office & Facilities,G4S Secure Solutions (USA) Inc.,Facility Services,competitive,10000000
POR-31001722,Office & Facilities,Relay Resources,Facility Services,limited,8256113
POR-31002677,Office & Facilities,Environments,VARIOUS BUREAUS,limited,5000000
POR-30008143,Professional Services,KPFF Consulting Engineers,Transportation,renewal,12692542
POR-30008243,Professional Services,KemperSports Management LLC,Parks and Recreation,competitive,40000000
POR-30009254,Professional Services,"Aptim Environmental & Infrastructure, LLC",Planning and Sustainability,renewal,14842720
POR-31001028,Professional Services,Northwest Software Inc,Technology Services,renewal,8000000
POR-31001293,Professional Services,Hyphn,CITYWIDE PROJECTS - OMF,competitive,24128800
POR-30005394,Road & Construction,"Balfour Beatty Construction, LLC dba Howard S. Wri",Facility Services,competitive,140000000
POR-30008655,Road & Construction,Bremik Construction Inc,Parks and Recreation,competitive,25532000
POR-30008979,Road & Construction,Raimore Construction,Transportation,competitive,42800000
POR-30009095,Road & Construction,"Cascade Bridge, LLC",Transportation,competitive,16482239
POR-31000720,Road & Construction,Cale America Inc.,Transportation,renewal,31039000
POR-30006958,Technology & Equipment,Fast Enterprises,Revenue Division,renewal,62100596
POR-30008156,Technology & Equipment,ConvergeOne,Technology Services,limited,11000000
POR-30008521,Technology & Equipment,CenturyLink Communications LLC,Technology Services,limited,11488000
POR-31000786,Technology & Equipment,Hitachi Data Systems,Technology Services,sole_source,7500000
POR-31002741,Technology & Equipment,Dell Marketing LLP,Technology Services,limited,12000000
